,class,tweet
0,0,woman complain clean hous man alway take trash
1,1,boy dat cold tyga dwn bad cuffin dat hoe  place
2,1,dawg ever fuck bitch start cri confus shit
3,1,anderson base look like tranni
4,1,shit hear might true might faker bitch told ya 
5,1,madison shit blow claim faith somebodi still fuck hoe   
6,1,brighterday sit hate anoth bitch got much shit go
7,1, caus tire big bitch come us skinni girl 
8,1,might get ya bitch back that
9,1,hobbi includ fight mariam bitch
10,1,keek bitch curv everyon lol walk convers like smh
11,1,murda gang bitch gang land
12,1,hoe smoke loser yea go ig
13,1,bad bitch thing like
14,1,bitch get
15,1,bitch nigga miss
16,1,bitch plz whatev
17,1,bitch love
18,1,bitch get cut everyday
19,1,black bottl bad bitch
20,1,broke bitch cant tell noth
21,1,cancel bitch like nino
22,1,cant see hoe wont chang
23,1,fuck bitch dont even suck dick    kermit video bout fuck ig
24,1,got ya bitch tip toe hardwood floor 
25,1,pussi lip like heaven door 
26,1,hoe hit
27,1,met pussi ocean dr gave pussi pill 
28,1,need trippi bitch fuck hennessi
29,1,spend money want bitch busi
30,1,txt old bitch new bitch pussi wetter
31,1,say im back old old bitch would get excit 
32,1,aint bout murder game pussi nigga shut
33,1,toe done pussi stink
34,1,im done bitter bitch wrap angri bird there app
35,1,ya bitch
36,1,aint noth cut bitch
37,1,jus meet son ya mane ass bitch shot
38,1,lame cri hoe that tear clown
39,1,like snoop said  dont love hoe
40,0,momma said pussi cat insid doghous
41,1,hate hoe favorit  sevenon
42,1,nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick
43,1,pimp pimp hoe futur voic
44,1,post pictur pussi get  like
45,1,pussi power drug  happyhumpday
46,1,quick piec pussi call drive
47,1,run round like brand new pussi that bout get fuck
48,1,bitch even worst send guy
49,1,hoe like nigga spend money talk bout
50,1,dont trust nigga bitch
51,1,yall nigga cuf hoe caus yall aint never bitch
52,1,dodg bullet   da bitch cut pregnant bound thank god  
53,1,young pill chamberlain bitch love music
54,1,           teanna trump probabl cleaner twitter hoe
55,1,          gay nigga wait act like bitch tonight
56,1,   paradox ima steal cat replac pitbul     paradox bitch
57,1,gone alway hoe
58,1,son bitch took tic tac like movi
59,1,wanna get money fuck model bitch russel simmon
60,1,probabl  mind school much  deal bitch ass teacher
61,1,fuck fag said
62,1,femal think date pussi cute stuff make pussi
63,0,simplyaddictedtoguy woof woof hot scalli lad
64,1,ya ever ask bitch bitch kany voic yes
65,1,gone bring ur side bitch game know ya gf friend     swear
66,0,woof woof hot sole
67,0,lemmi eat oreo dish one oreo lol
68,1,bitch fuck mayb get better
69,1,fuck red malon man bitch ass niggah could pleas use complet sentenc
70,0,eggplant emoji doe say look like scream lmao
71,1,hennessey venom gt  one sexi bitch
72,1,seh pussi wetter shower curtain ahmesehwet lt lmao
73,1, eaglesn everi eagl need see pic post bitch said racist shit
74,1,yo fuck skateboard wood push faggot man ball life
75,0,babi monkey bathtim soooo ador
76,1,    shit damn skippi lol
77,1,ever kill ant sidewalk think damn nigga way get pussi bs must gt  chanc
78,1,kudabrazyy ring mvps bitch lol
79,1,ppl talk bad ghetto hood kid grow nigga funnnnnnn
80,1,fact tattoo tattoo pussi tattoo nippl
81,1,   ayden bitch want act like nigga bad    shit aint cuteeee nigga act like bitch
82,1,get worship bitch woof woof
83,1,wow lost buttcheek pierc yeah hoe
84,1,ok sis rather broke bitch shrug tell work
85,1,queer gaywad
86,1,faggot read tweet dat even funni lol
87,1,bitch ungrat fr lulwhor
88,1,kidnap yo bitch
89,1, thunduh alsarabsss hes beaner smh tell hes mexican
90,1,happi birthday nig thank yo
91,1,ur teacher tell homework bitch need go
92,1,nigga eat hoe lol hell yea lol john paul nigga said john paul
93,1,would lil ugli bald head bitch stop make make weav
94,1,leaf better win damn game go riot shit earlychristma better start loot nig
95,1,go back school suck dick hoe attend
96,1,way fuck yo bitch year old
97,1,thunduh come never bring food dont car retard
98,1,richnow show hella tinder hoe im friend anymor chill brought like like propl
99,1,bout cowboy shutup pussi
100,1,lmaooooooooooo nigga nuh care lt bitch want like depress shit foh
101,1,cee aerii girl know spit shit go lbvs bitch plz
102,1,cee let make coupl tweet cuzzo page get twitter jail lmao bitch trick
103,1,harlem shake excus go full retard  second
104,1,amen miley  need act like hoe bc emot damag foh
105,1,one loyal femal wayyyyy better hoe idc 
106,1,pussi lick pussi meow meow   
107,1,holloway check  man cowboysn even faggot ny fan stand
108,1,happen vixen ent bitch got ran threw side like foothil bitch
109,1,thunduh im bitch okay nude pat    wow
110,1,fuck gay blacklist hoe hold tehgodclan anyway
111,1,fuck wrong bitch nobodi know
112,1,yall shut make bitch
113,1,hate pregnant type bitch
114,1,got bitch dm ever read em top
115,0,basebal season win yanke love start
116,1,littl stupid bitch fuck yoooooouuuu
117,1,realli ask dead ass serious tho could say bitch wheet lol
118,0,earli bird night owl wise worm
119,0,overdos heavi drug sound bad tonight pussi shit everi day
120,0, pit bull photograph love fairi tale creatur fairi tale creatur
121,1,ghost bravo aw fag tweet aw lol
122,0,long laker trash could careless real cc hahaha
123,1,say anyth tho kiss faggot
124,0,play soccer cheat girl wear khaki colour cargo haircut  yup
125,1,could go fat ass bitch lap
126,1, miss call   das yo bitch twitter finna screamn freemoneymell
127,1,al ya side bitch gotta know rule shit anybodi ask cousin jersey thinkin bout move lmmfao    
128,1, amo los pie fuck yeah
129,1,hoe think meat slap ass   ainna bruh
130,1,yall bitch wit edg talk      
131,1,yall still go trick treat year nah hell yeah ima da sweet tooth bandit steal bitch bag shit
132,1,wanna sex mom fuck right pussi came damn got hack like fuck
133,1, kiss eye open watch bitch lmfao
134,1,woulda coulda shoulda ass hoe  
135,1,ltf happi bday bitch ass nigga preciat bitch roll
136,1,use send bitch
137,1,ugli bitch like wcw duh bitch nobodi els  
138,1,bravo nigga know hacki sack hoe nah throw look pass lmao
139,1,glad get outta atlanta noth bunch nigga outta jail dumb bitch mad kid fuckin em
140,0,ghetto smart idc
141,1,would wife hoe cuz care cheat forc relationship first place
142,1,singl excus hoe luu
143,1,white boy power bitch black power bitch
144,1, let get drunk get blow spit shit spark blunt fuck hoe bro white dude chill
145,1,abrupt bitch around world back
146,1,get dick suck yo parti bad bitch fr gone set    
147,1,oomf soooo cute probabl hoe lot
148,1,everi cartoon alway  save hoe lmao lmao damn captain saveaho
149,0,want get nose bad boi scalli chav sockfetish stink hot sox leg
150,1,wish bitch like brother keezi  ooooow bet
151,1,dress cat halloween basic pussi
152,1,pornhub get game stream featur dumb bitch gtfo get kati lt
153,1,stop scare choke sex bitch ass nigga  like say guy hit women bed foh
154,1,thunduh ha well iguess make hoe loyal bro theyll never loyal hoe nig
155,1,oh man molli ho fuck ya seed fix
156,1,man refer everi girl bitch
157,1,lmfao cat start beat shit nigga final got pussi nigga
158,0,peel peel bring back rewind back move shaq line ooooow tf said trash
159,1,io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha
160,1,naw old tape new cover upcom mixtap kingofthehil yeah wait hoe mayn
161,1,ol dirti foot ass bitch funni
162,1,shawn thunduh get yellow flag amaz   hell yeah niggi
163,1,got time bitch actin iffi
164,0,ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut
165,1,hoe loyal smfh wonder nobodi decent want
